sepal length (cm) <= 5.0,sepal length (cm) <= 5.6,sepal length (cm) <= 6.1,sepal length (cm) <= 6.5200000000000005,sepal width (cm) <= 2.7,sepal width (cm) <= 3.0,sepal width (cm) <= 3.1,sepal width (cm) <= 3.4,petal length (cm) <= 1.5,petal length (cm) <= 3.9,petal length (cm) <= 4.639999999999999,petal length (cm) <= 5.32,petal width (cm) <= 0.2,petal width (cm) <= 1.1600000000000001,petal width (cm) <= 1.5,petal width (cm) <= 1.9,class
1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,setosa
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,setosa
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,setosa
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,setosa
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,setosa
1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,setosa
0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,setosa
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,setosa
1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,setosa
1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,setosa
1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,setosa
1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,setosa
1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,setosa
1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,setosa
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,setosa
0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,setosa
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,setosa
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,setosa
1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,setosa
0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,setosa
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,setosa
0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,setosa
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,setosa
1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,setosa
1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,NO
1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,NO
1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,NO
1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,NO
1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,NO
1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,NO
1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,NO
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NO
1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,NO
1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,NO
1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,NO
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,NO
1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,NO
1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,NO
1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,NO
1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,NO
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NO
1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,NO
1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,NO
1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,NO
1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,NO
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NO
1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,NO
1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,NO
1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,NO
1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,NO
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,NO
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,NO
1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,NO
1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,NO
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,NO
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,NO
1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,NO
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NO
1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,NO
1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,NO
1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,NO
1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,NO
1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,NO
1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,NO
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NO
1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,NO
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,NO
1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,NO
1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,NO
1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,NO
1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NO
1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,NO
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,NO
1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,NO
1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,NO
1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,NO
